time,value
0,900
1,900
2,900
3,1294
4,1463
5,1013
6,2138
7,1069
8,1013
9,1463
10,2306
11,3600
12,4444
13,1688
14,4388
15,1744
16,2194
17,2475
18,1519
19,1350
20,1463
21,1744
22,731
23,731
24,788
25,956
26,675
27,506
28,1631
29,844
30,1181
31,1575
32,844
33,788
34,1013
35,1181
36,1631
37,1856
38,1800
39,844
40,1856
41,3319
42,2138
43,2250
44,1181
45,1575
46,1631
47,788
48,2081
49,1463
50,1631
51,1406
52,225
53,1069
54,450
55,619
56,900
57,1125
58,1688
59,450
60,506
61,450
62,563
63,2081
64,1856
65,450
66,225
67,169
68,56
69,1125
70,169
71,1013
72,675
73,1688
74,1519
75,900
76,1013
77,1181
78,1013
79,1631
80,1631
81,788
82,619
83,1069
84,1013
85,1013
86,956
87,675
88,731
89,619
90,844
91,844
92,394
93,1069
94,1238
95,844
96,1688
97,1013
98,394
99,619
100,1069
101,900
102,1463
103,788
104,113
105,113
106,900
107,1688
108,1350
109,3094
110,450
111,1181
112,563
113,394
114,900
115,1181
116,1013
117,1406
118,1069
119,2700
120,1744
121,1125
122,1069
123,1069
124,1744
125,563
126,844
127,956
128,619
129,2025
130,675
131,1294
132,1631
133,1294
134,1238
135,1181
136,1744
137,563
138,900
139,225
140,1181
141,1181
142,1294
143,1519
144,450
145,1013
146,1125
147,2081
148,1238
149,1631
150,1800
151,1463
152,3713
153,3319
154,3656
155,4050
156,2756
157,2138
158,1575
159,1969
160,1238
161,1406
162,1575
163,3375
164,788
165,281
166,1406
167,1069
168,1575
169,2419
170,2250
171,1350
172,1688
173,1519
174,1350
175,788
176,1575
177,1350
178,1125
179,1350
180,1800
181,1350
182,2250
183,2250
184,2306
185,1913
186,1913
187,2419
188,4331
189,1744
190,563
191,1069
192,1294
193,731
194,1125
195,956
196,844
197,900
198,1013
199,1013
200,731
201,1294
202,1800
203,1688
204,1238
205,506
206,1463
207,1013
208,1350
209,1013
210,1406
211,1913
212,1406
213,1013
214,113
215,956
216,788
217,1519
218,3431
219,2475
220,2531
221,3994
222,2250
223,1013
224,1519
225,731
226,1238
227,844
228,1238
229,1294
230,844
231,731
232,788
233,281
234,506
235,1069
236,1800
237,1125
238,844
239,844
240,1913
241,1013
242,1631
243,1463
244,450
245,1181
246,563
