time,value
0,70
1,74
2,76
3,80
4,84
5,88
6,90
7,94
8,98
9,100
10,104
11,108
12,111
13,114
14,118
15,121
16,124
17,128
18,131
19,135
20,138
21,141
22,145
23,148
24,151
25,155
26,159
27,161
28,165
29,169
30,171
31,175
32,179
33,183
34,185
35,189
36,193
37,199
38,205
39,211
40,218
41,224
42,230
43,236
44,243
45,250
46,256
47,263
48,269
49,275
50,281
51,288
52,294
53,300
54,306
55,313
56,320
57,326
58,333
59,339
60,345
61,351
62,358
63,364
64,370
65,376
66,384
67,390
68,396
69,403
70,409
71,415
72,421
73,429
74,435
75,443
76,450
77,456
78,464
79,471
80,478
81,485
82,493
83,499
84,506
85,514
86,520
87,528
88,535
89,541
90,549
91,556
92,563
93,570
94,578
95,584
96,591
97,599
98,605
99,613
100,620
101,626
102,634
103,640
104,648
105,655
106,661
107,669
108,676
109,680
110,685
111,689
112,694
113,698
114,703
115,708
116,711
117,716
118,720
119,725
120,729
121,734
122,738
123,743
124,746
125,751
126,755
127,760
128,765
129,769
130,774
131,778
132,783
133,786
134,791
135,795
136,800
137,804
138,809
139,813
140,818
141,821
142,826
143,831
144,835
145,835
146,835
147,835
148,835
149,835
150,835
151,835
152,835
153,835
154,835
155,835
156,835
157,835
158,835
159,835
160,835
161,835
162,835
163,835
164,835
165,835
166,835
167,835
168,835
169,835
170,835
171,835
172,835
173,835
174,835
175,835
176,835
177,835
178,835
179,835
180,835
181,831
182,828
183,824
184,820
185,816
186,813
187,809
188,806
189,803
190,799
191,795
192,791
193,788
194,784
195,780
196,776
197,773
198,769
199,765
200,761
201,758
202,754
203,750
204,746
205,743
206,739
207,736
208,733
209,729
210,725
211,721
212,718
213,714
214,710
215,706
216,703
217,698
218,693
219,686
220,681
221,676
222,671
223,666
224,660
225,655
226,650
227,645
228,639
229,634
230,629
231,624
232,619
233,613
234,608
235,603
236,598
237,593
238,586
239,581
240,576
241,571
242,566
243,560
244,555
245,550
246,545
247,539
248,534
249,529
250,524
251,519
252,513
253,508
254,504
255,499
256,494
257,489
258,484
259,479
260,474
261,469
262,464
263,459
264,454
265,449
266,444
267,439
268,434
269,429
270,424
271,419
272,414
273,410
274,403
275,395
276,389
277,381
278,375
279,369
280,361
281,355
282,349
283,343
284,336
285,331
286,325
287,319
288,314
289,308
290,303
291,298
292,293
293,288
294,283
295,278
296,273
297,268
298,264
299,259
300,255
301,250
302,246
303,243
304,243
305,243
306,243
307,243
308,243
309,243
310,243
311,243
312,244
313,244
314,244
315,244
316,244
317,244
318,244
319,244
320,244
321,244
322,245
323,245
324,245
325,245
326,245
327,245
328,245
329,245
330,245
331,245
332,290
333,290
334,290
335,291
336,291
337,291
338,293
339,293
340,294
341,294
342,295
343,295
344,296
345,298
346,299
347,300
348,301
349,303
350,304
351,306
352,308
353,309
354,311
355,313
356,315
357,316
358,319
359,321
360,324
361,326
362,329
363,331
364,334
365,336
366,339
367,341
368,345
369,348
370,351
371,354
372,358
373,360
374,364
375,368
376,371
377,375
378,379
379,383
380,386
381,390
382,394
383,399
384,403
385,406
386,411
387,416
388,420
389,425
390,430
391,435
392,439
393,444
394,449
395,455
396,460
397,465
398,470
399,476
400,481
401,486
402,493
403,499
404,504
405,510
406,516
407,523
408,529
409,535
410,541
411,548
412,554
413,560
414,568
415,574
416,580
417,588
418,595
419,601
420,609
421,616
422,624
423,630
424,638
425,646
426,654
427,661
428,669
429,676
430,685
431,693
432,700
433,708
434,716
435,724
436,731
437,739
438,744
439,749
440,754
441,759
442,764
443,769
444,773
445,778
446,783
447,788
448,793
449,798
450,803
451,808
452,813
453,816
454,821
455,826
456,831
457,836
458,841
459,846
460,851
461,856
462,860
463,865
464,870
465,875
466,880
467,885
468,890
469,895
470,899
471,904
472,909
473,914
474,914
475,914
476,914
477,914
478,914
479,914
480,914
481,914
482,914
483,914
484,914
485,914
486,914
487,914
488,914
489,914
490,914
491,914
492,914
493,914
494,914
495,914
496,914
497,914
498,914
499,914
500,914
501,914
502,914
503,914
504,914
505,914
506,914
507,914
508,914
509,914
510,910
511,906
512,901
513,898
514,894
515,890
516,885
517,881
518,878
519,874
520,870
521,865
522,861
523,858
524,854
525,849
526,845
527,841
528,838
529,833
530,829
531,825
532,821
533,816
534,813
535,809
536,805
537,800
538,796
539,793
540,789
541,784
542,780
543,776
544,773
545,769
546,763
547,756
548,751
549,745
550,739
551,734
552,728
553,723
554,716
555,710
556,705
557,699
558,693
559,688
560,681
561,676
562,670
563,664
564,659
565,653
566,646
567,641
568,635
569,629
570,624
571,618
572,613
573,606
574,600
575,595
576,589
577,583
578,578
579,571
580,566
581,560
582,555
583,549
584,544
585,539
586,533
587,528
588,523
589,516
590,511
591,506
592,500
593,495
594,490
595,484
596,479
597,474
598,468
599,463
